pad,well,event_type,timestamp,pad_pg_value
P121,105N16,105N16 start,2025-07-27 15:19:00,158.7977752685547
P121,105N16,105N16 NFE,2025-07-28 15:49:00,191.92034912109375
P121,105N16,105N16 trip,2025-07-28 22:07:00,115.279541015625
P121,105N16,105N16 start,2025-07-29 01:07:00,184.0438232421875
P121,105N16,105N16 NFE,2025-07-29 11:55:00,186.1123809814453
P121,105N16,105N16 trip,2025-07-29 16:01:00,116.38390350341797
P121,105N16,105N16 start,2025-07-31 14:37:00,-0.07437655329704285
P121,105N16,105N16 NFE,2025-08-02 12:01:00,183.9236602783203
P121,105N16,105N16 trip,2025-08-02 19:13:00,188.8375701904297
P121,105N16,105N16 start,2025-08-06 07:07:00,117.84019470214844
P121,105N17,105N17 trip,2025-07-30 11:25:00,-0.07437655329704285
P121,105N19,105N19 +2.89 hz,2025-08-06 05:25:00,125.35335540771484
P121,105N19,105N19 +2.66 hz,2025-08-06 11:01:00,148.26239013671875
P121,105N19,105N19 +2.39 hz,2025-08-07 03:49:00,-0.1058482825756073
P121,105W03,105W03 trip,2025-08-05 04:43:00,124.80689239501953
P121,105W03,105W03 start,2025-08-05 11:07:00,108.76345825195312
P121,105W03,105W03 NFE,2025-08-05 07:13:00,125.56077575683594
P121,105W03,105W03 trip,2025-08-05 18:37:00,124.81547546386719
P121,105W03,105W03 start,2025-08-05 22:19:00,116.14213562011719
P121,105W05,105W05 NFE,2025-07-28 22:01:00,0.007163843140006065
P121,105W06,105W06 NFE,2025-07-27 23:55:00,145.02365112304688
P121,105W06,105W06 NFE,2025-08-05 22:01:00,115.95330810546875
P121,105W07,105W07 NFE,2025-07-31 06:01:00,-0.18881921470165253
P121,105W07,105W07 trip,2025-07-31 13:31:00,5.807976245880127
P121,105W07,105W07 +21.21 hz,2025-07-31 15:01:00,145.71412658691406
P121,105W07,105W07 trip,2025-08-05 18:37:00,124.81547546386719
P121,105W07,105W07 start,2025-08-05 22:19:00,116.14213562011719
P121,105W07,105W07 NFE,2025-08-05 22:25:00,124.14311218261719
P121,105W07,105W07 trip,2025-08-06 04:13:00,114.79744720458984
P121,105W07,105W07 start,2025-08-06 08:01:00,-0.07437655329704285
P121,105W11,105W11 NFE,2025-07-30 17:31:00,137.84190368652344
P121,105W11,105W11 +8.05 hz,2025-07-30 23:43:00,164.53564453125
P121,105W11,105W11 NFE,2025-08-03 21:25:00,136.34127807617188
P121,105W11,105W11 trip,2025-08-04 01:43:00,0.005733309779316187
P121,105W11,105W11 start,2025-08-04 16:43:00,123.51510620117188
P121,105W11,105W11 NFE,2025-08-05 00:19:00,197.17327880859375
P121,105W11,105W11 start,2025-08-05 08:31:00,112.0107650756836
P121,105W11,105W11 +11.53 hz,2025-08-05 09:25:00,-0.2660680115222931
P121,105W11,105W11 trip,2025-08-05 21:55:00,120.83429718017578
P121,105W11,105W11 start,2025-08-05 22:07:00,110.86062622070312
P121,105W11,105W11 NFE,2025-08-06 00:31:00,110.10243225097656
P121,105W11,105W11 trip,2025-08-06 06:55:00,-0.10298721492290497
P121,105W11,105W11 start,2025-08-06 14:07:00,228.88104248046875
