pad,well,event_type,timestamp,pg_before,pg_after,delta_pg
106,106W4,106W4 trip,2025-08-19 22:13:00,-0.1029872149229049,118.61125183105467,118.71423904597758
106,106W4,106W4 trip,2025-08-19 22:19:00,118.61125183105467,132.0310821533203,13.41983032226564
106,106W16,106W16 +2.44 hz,2025-08-19 22:49:00,132.0310821533203,135.09957885742188,3.0684967041015625
106,106W4,106W4 start,2025-08-19 23:19:00,135.09957885742188,137.18814086914062,2.08856201171875
106,106W16,106W16 +2.61 hz,2025-08-20 00:13:00,137.18814086914062,129.1042022705078,-8.083938598632812
106,106W16,106W16 +2.33 hz,2025-08-20 02:07:00,129.1042022705078,112.8547821044922,-16.24942016601561
106,106W13,106W13 +2.13 hz,2025-08-20 10:13:00,112.8547821044922,183.26705932617188,70.41227722167967
106,106W16,106W16 +2.03 hz,2025-08-20 11:25:00,183.26705932617188,,
107,7WP05,7WP05 start,2025-08-11 07:37:00,104.95966339111328,111.07376861572266,6.114105224609375
107,7WP10,7WP10 NFE,2025-08-11 08:31:00,111.07376861572266,124.1388168334961,13.065048217773438
107,7WP05,7WP05 trip,2025-08-11 09:31:00,124.1388168334961,190.6185607910156,66.4797439575195
107,7WP12,7WP12 NFE,2025-08-11 11:31:00,190.6185607910156,116.50120544433594,-74.11735534667966
107,7WP06,7WP06 start,2025-08-11 14:01:00,116.50120544433594,143.7757568359375,27.274551391601562
107,7WP08,7WP08 start,2025-08-11 14:19:00,143.7757568359375,-0.13588947057724,-143.91164630651474
107,7WP05,7WP05 start,2025-08-11 16:01:00,-0.13588947057724,121.37789154052734,121.51378101110458
107,7WP10,7WP10 trip,2025-08-11 18:19:00,121.37789154052734,121.37789154052734,0.0
107,7WP08,7WP08 trip,2025-08-11 18:19:00,121.37789154052734,136.21682739257812,14.838935852050781
107,7WP05,7WP05 trip,2025-08-11 19:31:00,136.21682739257812,-0.1072788164019584,-136.32410620898008
107,7WP12,7WP12 start,2025-08-11 20:07:00,-0.1072788164019584,197.57667541503903,197.683954231441
107,7WP08,7WP08 start,2025-08-11 21:07:00,197.57667541503903,197.57667541503903,0.0
107,7WP10,7WP10 start,2025-08-11 21:07:00,197.57667541503903,110.2140121459961,-87.36266326904294
107,7WP12,7WP12 NFE,2025-08-12 11:19:00,110.2140121459961,124.9842758178711,14.770263671875
107,7WP12,7WP12 +5.9 hz,2025-08-12 19:19:00,124.9842758178711,121.72981262207033,-3.254463195800767
107,7WP12,7WP12 +11.09 hz,2025-08-13 07:43:00,121.72981262207033,120.54247283935548,-1.1873397827148438
107,7WP05,7WP05 start,2025-08-13 08:19:00,120.54247283935548,99.18746948242188,-21.355003356933608
107,7WP12,7WP12 +11.1 hz,2025-08-13 22:25:00,99.18746948242188,146.66543579101562,47.47796630859375
107,7WP12,7WP12 trip,2025-08-14 03:31:00,146.66543579101562,122.62674713134766,-24.03868865966797
107,7WP07,7WP07 NFE,2025-08-16 16:49:00,122.62674713134766,-0.0944040119647979,-122.72115114331245
107,7WP07,7WP07 +12.97 hz,2025-08-16 22:13:00,-0.0944040119647979,127.32748413085938,127.42188814282417
107,7WP07,7WP07 trip,2025-08-16 23:25:00,127.32748413085938,-0.0243078898638486,-127.35179202072322
107,7WP07,7WP07 start,2025-08-18 08:13:00,-0.0243078898638486,142.87596130371094,142.9002691935748
107,7WP09,7WP09 +2.05 hz,2025-08-18 18:49:00,142.87596130371094,133.0438995361328,-9.832061767578125
107,7WP09,7WP09 +2.18 hz,2025-08-18 21:07:00,133.0438995361328,159.3356475830078,26.291748046875
107,7WP05,7WP05 NFE,2025-08-19 08:19:00,159.3356475830078,-0.1029872149229049,-159.43863479793072
107,7WP12,7WP12 start,2025-08-19 09:43:00,-0.1029872149229049,123.83984375,123.9428309649229
107,7WP05,7WP05 trip,2025-08-19 14:13:00,123.83984375,134.232666015625,10.392822265625
107,7WP05,7WP05 start,2025-08-19 14:37:00,134.232666015625,152.00274658203125,17.77008056640625
107,7WP05,7WP05 +2.02 hz,2025-08-19 15:43:00,152.00274658203125,-0.0743765532970428,-152.0771231353283
107,7WP05,7WP05 trip,2025-08-19 18:01:00,-0.0743765532970428,149.522216796875,149.59659335017204
107,7WP05,7WP05 start,2025-08-19 21:43:00,149.522216796875,-0.1029872149229049,-149.6252040117979
107,7WP05,7WP05 NFE,2025-08-19 22:13:00,-0.1029872149229049,150.57078552246094,150.67377273738384
107,7WP07,7WP07 NFE,2025-08-19 22:37:00,150.57078552246094,-0.1029872149229049,-150.67377273738384
107,7WP07,7WP07 trip,2025-08-20 07:01:00,-0.1029872149229049,-0.1029872149229049,0.0
107,7WP05,7WP05 trip,2025-08-20 07:01:00,-0.1029872149229049,163.0622100830078,163.16519729793072
107,7WP07,7WP07 start,2025-08-20 07:25:00,163.0622100830078,163.0622100830078,0.0
107,7WP05,7WP05 start,2025-08-20 07:25:00,163.0622100830078,140.096435546875,-22.965774536132812
107,7WP07,7WP07 trip,2025-08-20 07:31:00,140.096435546875,124.42494201660156,-15.671493530273438
107,7WP07,7WP07 start,2025-08-20 07:37:00,124.42494201660156,-0.0743765532970428,-124.4993185698986
107,7WP05,7WP05 NFE,2025-08-20 07:55:00,-0.0743765532970428,161.3012237548828,161.37560030817986
107,7WP07,7WP07 +2.02 hz,2025-08-20 08:19:00,161.3012237548828,,
108,108P13,108P13 start,2025-08-11 07:13:00,168.39381408691406,-0.2374573498964309,-168.6312714368105
108,108P12,108P12 NFE,2025-08-12 00:31:00,-0.2374573498964309,105.3501968383789,105.58765418827534
108,108P13,108P13 NFE,2025-08-12 04:25:00,105.3501968383789,143.48965454101562,38.13945770263672
108,108P13,108P13 +12.06 hz,2025-08-12 22:49:00,143.48965454101562,118.57405090332033,-24.9156036376953
108,108P13,108P13 trip,2025-08-13 01:37:00,118.57405090332033,128.6678924560547,10.09384155273436
108,108P13,108P13 start,2025-08-13 08:13:00,128.6678924560547,120.54247283935548,-8.125419616699205
108,108P13,108P13 start,2025-08-13 08:19:00,120.54247283935548,132.49456787109375,11.952095031738267
108,108P13,108P13 NFE,2025-08-13 12:37:00,132.49456787109375,0.0057333097793161,-132.48883456131443
108,108P06,108P06 +16.19 hz,2025-08-13 15:25:00,0.0057333097793161,130.3802490234375,130.37451571365818
108,108P14,108P14 start,2025-08-13 15:49:00,130.3802490234375,185.01516723632807,54.63491821289057
108,108P14,108P14 trip,2025-08-13 18:19:00,185.01516723632807,-0.0972650796175003,-185.11243231594557
108,108P14,108P14 +20.94 hz,2025-08-13 19:37:00,-0.0972650796175003,137.47569274902344,137.57295782864094
108,108P12,108P12 trip,2025-08-14 02:43:00,137.47569274902344,0.007163843140006,-137.46852890588343
108,108P14,108P14 trip,2025-08-14 04:01:00,0.007163843140006,123.25189208984376,123.24472824670376
108,108P13,108P13 +7.61 hz,2025-08-14 04:07:00,123.25189208984376,123.25189208984376,0.0
108,108P14,108P14 trip,2025-08-14 04:07:00,123.25189208984376,116.23942565917967,-7.012466430664091
108,108P12,108P12 start,2025-08-14 07:07:00,116.23942565917967,116.55413818359376,0.3147125244140909
108,108P14,108P14 start,2025-08-14 07:13:00,116.55413818359376,114.6229248046875,-1.9312133789062642
108,108P14,108P14 trip,2025-08-14 08:43:00,114.6229248046875,118.8887710571289,4.265846252441406
108,108P14,108P14 +17.91 hz,2025-08-14 10:07:00,118.8887710571289,109.8892822265625,-8.999488830566406
108,108P14,108P14 +4.94 hz,2025-08-14 19:37:00,109.8892822265625,121.32925415039062,11.439971923828125
108,108P14,108P14 trip,2025-08-14 21:31:00,121.32925415039062,126.3590087890625,5.029754638671875
108,108P14,108P14 trip,2025-08-14 21:37:00,126.3590087890625,140.02777099609375,13.66876220703125
108,108P13,108P13 NFE,2025-08-15 14:13:00,140.02777099609375,133.52598571777344,-6.5017852783203125
108,108P14,108P14 start,2025-08-15 17:01:00,133.52598571777344,121.5781707763672,-11.947814941406236
108,108P13,108P13 +6.62 hz,2025-08-15 19:31:00,121.5781707763672,126.45198822021484,4.873817443847642
108,108P14,108P14 trip,2025-08-15 20:01:00,126.45198822021484,-0.1015566810965538,-126.5535449013114
108,108P14,108P14 +24.91 hz,2025-08-15 21:25:00,-0.1015566810965538,-0.0743765532970428,0.027180127799510997
108,108P14,108P14 +19.92 hz,2025-08-16 00:31:00,-0.0743765532970428,145.837158203125,145.91153475642204
